203,GIB,,Gibraltar,
204,GUM,,Guam,
205,PRK,,"Korea, Dem. People's Rep.",
206,LIE,,Liechtenstein,
207,MCO,,Monaco,
208,NRU,,Nauru,
209,NCL,,New Caledonia,
210,MNP,,Northern Mariana Islands,
211,SMR,,San Marino,
212,SXM,,Sint Maarten (Dutch part),
213,MAF,,St. Martin (French part),
214,SYR,,Syrian Arab Republic,
215,TCA,,Turks and Caicos Islands,
216,VIR,,Virgin Islands (U.S.),
217,WLD,,World,73433644.0
218,EAS,,East Asia & Pacific,21281190.0
219,ECS,,Europe & Central Asia,19985557.0
220,LCN,,Latin America & Caribbean,5148022.0
221,MEA,,Middle East & North Africa,3113598.0
222,NAC,,North America,19503407.0
223,SAS,,South Asia,2666094.0
224,SSF,,Sub-Saharan Africa,1572873.0
225,LIC,,Low income,392904.0
226,LMC,,Lower middle income,5820363.0
227,UMC,,Upper middle income,19732884.0
228,HIC,,High income,46985247.0
